time_period,measure,sex,obs_value,ingested_on,last_obs_value,change_obs_value
2020-06-01,full-time,male,5332.99246178,2023-10-01,5350.22200819,-17.229546410000694
2020-06-01,full-time,all,8493.082041,2023-10-01,8547.46000097,-54.37795997000103
2020-06-01,part-time,male,1217.7944181,2023-10-01,1254.40298732,-36.608569219999936
2020-05-01,part-time,female,2483.85175832,2023-10-01,2631.18820448,-147.33644615999992
2020-05-01,part-time,all,3590.57911064,2023-10-01,3848.98262258,-258.40351194000004
2020-05-01,full-time,female,3167.6529474,2023-10-01,3160.08957922,7.563368179999998
2020-05-01,full-time,male,5350.48745916,2023-10-01,5332.99246178,17.494997380000314
2020-05-01,full-time,all,8518.14040656,2023-10-01,8493.082041,25.05836556000031
2020-05-01,part-time,male,1106.72735232,2023-10-01,1217.7944181,-111.06706578000012
2020-04-01,part-time,female,2601.65546884,2023-10-01,2483.85175832,117.8037105200001
2020-04-01,part-time,all,3766.49304092,2023-10-01,3590.57911064,175.91393027999993
2020-04-01,full-time,female,3219.74769685,2023-10-01,3167.6529474,52.09474945000011
2020-04-01,full-time,male,5411.64212997,2023-10-01,5350.48745916,61.154670809999516
2020-04-01,full-time,all,8631.38982682,2023-10-01,8518.14040656,113.24942025999917
2020-04-01,part-time,male,1164.83757208,2023-10-01,1106.72735232,58.110219760000064
2020-03-01,part-time,female,2812.08840825,2023-10-01,2601.65546884,210.43293941000002
2020-03-01,part-time,all,4119.99723178,2023-10-01,3766.49304092,353.5041908600001
2020-03-01,full-time,female,3323.93921972,2023-10-01,3219.74769685,104.19152286999997
2020-03-01,full-time,male,5537.46329817,2023-10-01,5411.64212997,125.8211682000001
2020-03-01,full-time,all,8861.40251789,2023-10-01,8631.38982682,230.01269107000007
2020-03-01,part-time,male,1307.90882353,2023-10-01,1164.83757208,143.0712514500001
2020-02-01,part-time,female,2816.58700618,2023-10-01,2812.08840825,4.49859792999996
2020-02-01,part-time,all,4118.94705933,2023-10-01,4119.99723178,-1.050172449999991
2020-02-01,full-time,female,3327.14493355,2023-10-01,3323.93921972,3.2057138300001498
2020-02-01,full-time,male,5541.23840417,2023-10-01,5537.46329817,3.7751060000000507
2020-02-01,full-time,all,8868.38333772,2023-10-01,8861.40251789,6.980819830001565
2020-02-01,part-time,male,1302.36005314,2023-10-01,1307.90882353,-5.548770390000072
2020-01-01,part-time,female,2812.02153404,2023-10-01,2816.58700618,-4.565472140000111
2020-01-01,part-time,all,4100.5089362,2023-10-01,4118.94705933,-18.43812313000035
2020-01-01,full-time,female,3346.64020923,2023-10-01,3327.14493355,19.49527567999985
2020-01-01,full-time,male,5544.86534911,2023-10-01,5541.23840417,3.6269449400006124
2020-01-01,full-time,all,8891.50555834,2023-10-01,8868.38333772,23.122220620000007
2020-01-01,part-time,male,1288.48740216,2023-10-01,1302.36005314,-13.87265097999989
2019-12-01,part-time,female,2789.30719107,2023-10-01,2812.02153404,-22.71434296999996
2019-12-01,part-time,all,4123.86821575,2023-10-01,4100.5089362,23.359279549999883
2019-12-01,full-time,female,3338.93631018,2023-10-01,3346.64020923,-7.703899050000018
2019-12-01,full-time,male,5499.2157081,2023-10-01,5544.86534911,-45.64964101000078
2019-12-01,full-time,all,8838.15201828,2023-10-01,8891.50555834,-53.35354006000125
2019-12-01,part-time,male,1334.56102468,2023-10-01,1288.48740216,46.073622519999844
2019-11-01,part-time,female,2797.17513168,2023-10-01,2789.30719107,7.867940610000005
2019-11-01,part-time,all,4091.92402702,2023-10-01,4123.86821575,-31.94418872999995
2019-11-01,full-time,female,3311.18251771,2023-10-01,3338.93631018,-27.753792470000008
2019-11-01,full-time,male,5532.7865628,2023-10-01,5499.2157081,33.57085470000038
2019-11-01,full-time,all,8843.96908051,2023-10-01,8838.15201828,5.817062230000374
2019-11-01,part-time,male,1294.74889533,2023-10-01,1334.56102468,-39.81212934999985
2019-10-01,part-time,female,2789.0612361,2023-10-01,2797.17513168,-8.11389558000019
2019-10-01,part-time,all,4063.26089836,2023-10-01,4091.92402702,-28.663128659999984
